recurso,url,consulta
Información institucional de visitas,https://ciencias.bogota.unal.edu.co/departamentos_e_Institutos/observatorio_astronomico_nacional/,2026-09-16
Servicios de asesoría del OAN,https://ciencias.bogota.unal.edu.co/asesorias_y_consultorias/nuestros_servicios/empresas/observatorio_astronomico_nacional/,2026-09-16
"eSPECTRA, volumen 1, número 1 (2023)",https://astronomiaoan.github.io/espectra/index-vol1num1.html,2026-09-16
La revista como nueva etapa editorial — eSPECTRA,https://espectra.astronomiaoan.co/oan220.html,2026-09-16
eSPECTRA: edición consultada en septiembre de 2026,https://espectra.astronomiaoan.co/,2026-09-16
Programa de Egresados de la Facultad de Ciencias,https://ciencias.bogota.unal.edu.co/dependencias/egresados,2026-09-16
Antes de la construcción del Observatorio — eSPECTRA,https://espectra.astronomiaoan.co/vol2num1-ciclo220-1.html,2026-09-16
El Observatorio en la memoria audiovisual de Bogotá — Señal Memoria · Inravisión,https://www.senalmemoria.co/articulos/observatorio-astronomico-colombia,2026-09-16
La institución y la historia nacional — eSPECTRA,https://espectra.astronomiaoan.co/vol2num1-ciclo220-2.html,2026-09-16
Una nueva lectura de las observaciones de 1804 — Revista ACCEFyN,https://raccefyn.co/index.php/raccefyn/article/view/3195,2026-09-16
La recuperación del jardín histórico — Revista ACCEFyN,https://raccefyn.co/index.php/raccefyn/article/view/3583,2026-09-16
Catálogo documental · 1803–1930,https://biblioteca.accefyn.org.co/cgi-bin/koha/opac-detail.pl?biblionumber=36781,2026-09-16
Catálogo documental · 1930–1949,https://godues.wordpress.com/2010/06/04/catalogo-del-archivo-historico-del-oan-ed-rac-566/,2026-09-16
La sede histórica en fotografía — Banco de la República,https://babel.banrepcultural.org/digital/collection/p17054coll19/id/1194/,2026-09-16
Humboldtiana neogranadina,https://bibliotecanacional.gov.co/es-co/colecciones/biblioteca-digital/humboldtiana/Documents/index.html,2026-09-16
La Casa de la Botánica y su legado — eSPECTRA,https://espectra.astronomiaoan.co/vol2num1-ciclo220-3.html,2026-09-16
Un nuevo telescopio para el Observatorio — Televisión UNAL,https://www.facebook.com/TelevisionUNAL/videos/-colombia-da-un-salto-hacia-las-estrellas-y-hacia-el-futuroen-el-observatorio-as/1514737633320693/,2026-09-16
El telescopio que Rodolfo Llinás entregó a Colombia — Los Informantes · Caracol,https://www.facebook.com/LosInformantesTV/videos/-el-telescopio-que-rodolfo-llin%C3%A1s-decidi%C3%B3-entregarle-a-colombia-el-reconocido-ci/1562308645591735/,2026-09-16
Avances de la astronomía en Colombia — Los Informantes · Caracol,https://www.facebook.com/LosInformantesTV/videos/los-positivos-avances-de-la-astronom%C3%ADa-en-colombia-hay-programas-de-maestr%C3%ADa-doc/1074612068393193/,2026-09-16
La trayectoria de Mario Armando Higuera — Radio Nacional de Colombia,https://www.radionacional.co/actualidad/personajes/mario-armando-higuera-director-del-observatorio-astronomico-nacional,2026-09-16
Conversación con Santiago Vargas — Persea · Aguacast,https://revistapersea.com/podcast/santiago-vargas-carl-sagan-colombiano/,2026-09-16
Cúmulo: voces del semillero — Canal del OAN,https://www.youtube.com/watch?v=o7poRjRStyo,2026-09-16
"Antes del Observatorio: Mutis, Caldas y Humboldt — Ciclo OAN 220 años",https://www.youtube.com/watch?v=DBhQu4Nlmbs,2026-09-16
Entrevista con Beatriz Sabogal — eSPECTRA,https://espectra.astronomiaoan.co/vol4num2-laentrevista.html,2026-09-16
Colombia en la geografía del Sistema Solar — eSPECTRA,https://espectra.astronomiaoan.co/vol4num2-divulgacion.html,2026-09-16
Presentación del catálogo documental — Agencia UNAL,https://agenciadenoticias.unal.edu.co/detalle/presentan-catalogo-documental-del-observatorio-astronomico,2026-09-16
Diálogo con Javier Santaolalla — EL TIEMPO,https://www.eltiempo.com/vida/ciencia/javier-santaolalla-en-colombia-entrevista-con-el-cientifico-y-divulgador-120160,2026-09-16
Canal OAN — conferencias,https://www.youtube.com/@astronomiaoan/streams,2026-09-24
Lanzamiento isleIA,https://www.youtube.com/watch?v=Syagimzi1Xw,2026-09-24
isleIA — Televisión UNAL,https://www.youtube.com/watch?v=jD9NjuPwP3A,2026-09-24
isleIA — anuncio Santiago Vargas,https://es.linkedin.com/posts/santiago-vargas-7a86238a_juevesbajolasestrellas-activity-7456814038488924160-Rqlm,2026-09-24
